dtc_code,description,subsystem,category,severity,severity_score,safe_to_drive,immediate_repair,explanation,driver_action
B0028,Right Front Passenger Side Deployment Loop Resistance Low,Restraint System,Body,Critical,5,Depends,Yes,"A fault has been detected in the airbag/restraint system, which may prevent the system from deploying correctly in a collision.",Have the airbag/restraint system inspected as soon as possible; it may not deploy correctly in a collision.
B1200,Climate Control Pushbutton Circuit Failure,HVAC,Body,Low,2,Yes,No,A fault has been detected in the climate control system. This affects passenger comfort but not vehicle safety.,No immediate safety action is required. Schedule a climate control inspection at your convenience.
B1201,Fuel Sender Circuit Failure,Fuel System,Fuel,Medium,3,Yes,No,A fault was detected in the fuel system that may affect engine performance and fuel economy.,"Schedule a fuel system inspection. Monitor for stalling, hesitation, or a strong fuel odor."
B1202,Fuel Sender Circuit Open,Fuel System,Fuel,Medium,3,Yes,No,A fault was detected in the fuel system that may affect engine performance and fuel economy.,"Schedule a fuel system inspection. Monitor for stalling, hesitation, or a strong fuel odor."
B1203,Fuel Sender Circuit Short To Battery,Electrical,Electrical,Medium,3,Yes,No,"A fault has been detected in the battery circuit, which can lead to starting problems or unexpected electrical shutdowns.",Inspect the battery and charging system. Carry jump-start equipment until the issue is resolved.
B1204,Fuel Sender Circuit Short To Ground,Fuel System,Fuel,Medium,3,Yes,No,A fault was detected in the fuel system that may affect engine performance and fuel economy.,"Schedule a fuel system inspection. Monitor for stalling, hesitation, or a strong fuel odor."
B1205,EIC Switch-1 Assembly Circuit Failure,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (EIC Switch-1 Assembly Circuit Failure). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1206,EIC Switch-1 Assembly Circuit Open,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (EIC Switch-1 Assembly Circuit Open). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1207,EIC Switch-1 Assembly Circuit Short To Battery,Electrical,Electrical,Medium,3,Yes,No,"A fault has been detected in the battery circuit, which can lead to starting problems or unexpected electrical shutdowns.",Inspect the battery and charging system. Carry jump-start equipment until the issue is resolved.
B1208,EIC Switch-1 Assembly Circuit Short To Ground,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (EIC Switch-1 Assembly Circuit Short To Ground). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1209,EIC Switch-2 Assembly Circuit Failure,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (EIC Switch-2 Assembly Circuit Failure). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1210,EIC Switch-2 Assembly Circuit Open,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (EIC Switch-2 Assembly Circuit Open). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1211,EIC Switch-2 Assembly Circuit Short To Battery,Electrical,Electrical,Medium,3,Yes,No,"A fault has been detected in the battery circuit, which can lead to starting problems or unexpected electrical shutdowns.",Inspect the battery and charging system. Carry jump-start equipment until the issue is resolved.
B1212,EIC Switch-2 Assembly Circuit Short To Ground,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (EIC Switch-2 Assembly Circuit Short To Ground). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1213,Anti-Theft Number of Programmed Keys Is Below Minimum,Security,Body,Medium,3,Yes,No,"A fault has been detected in the vehicle security/immobilizer system, which may prevent the engine from starting.","If the vehicle will not start, consult the owner's manual for the security system reset procedure or contact a dealer."
B1214,Running Board Lamp Circuit Failure,Lighting,Body,Low,2,Yes,No,"A fault has been detected in the vehicle lighting circuit, which can reduce visibility or signaling to other drivers.",Check and replace the affected bulb or fuse. Avoid night driving until lighting is restored.
B1215,Running Board Lamp Circuit Short to Battery,Electrical,Electrical,Medium,3,Yes,No,"A fault has been detected in the battery circuit, which can lead to starting problems or unexpected electrical shutdowns.",Inspect the battery and charging system. Carry jump-start equipment until the issue is resolved.
B1216,Emergency & Road Side Assistance Switch Circuit Short to Ground,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Emergency & Road Side Assistance Switch Circuit Short to Ground). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1217,Horn Relay Coil Circuit Failure,Electrical,Electrical,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Horn Relay Coil Circuit Failure). This typically points to a damaged connector, wire, or component within the Electrical subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Electrical).
B1218,Horn Relay Coil Circuit Short to Vbatt,Electrical,Electrical,Medium,3,Yes,No,A fault has been detected in the Electrical subsystem (Electrical): Horn Relay Coil Circuit Short to Vbatt. Further diagnostic inspection is recommended to determine the exact root cause.,Schedule a diagnostic inspection to confirm the root cause of this code (B1218). Monitor the vehicle for any worsening symptoms in the meantime.
B1219,Fuel Tank Pressure Sensor Circuit Failure,Fuel System,Fuel,Medium,3,Yes,No,A fault was detected in the fuel system that may affect engine performance and fuel economy.,"Schedule a fuel system inspection. Monitor for stalling, hesitation, or a strong fuel odor."
B1220,Fuel Tank Pressure Sensor Circuit Open,Fuel System,Fuel,Medium,3,Yes,No,A fault was detected in the fuel system that may affect engine performance and fuel economy.,"Schedule a fuel system inspection. Monitor for stalling, hesitation, or a strong fuel odor."
B1222,Fuel Temperature Sensor #1 Circuit Failure,Fuel System,Fuel,Medium,3,Yes,No,A fault was detected in the fuel system that may affect engine performance and fuel economy.,"Schedule a fuel system inspection. Monitor for stalling, hesitation, or a strong fuel odor."
B1223,Fuel Temperature Sensor #1 Circuit Open,Fuel System,Fuel,Medium,3,Yes,No,A fault was detected in the fuel system that may affect engine performance and fuel economy.,"Schedule a fuel system inspection. Monitor for stalling, hesitation, or a strong fuel odor."
B1224,Fuel Temperature Sensor #1 Circuit Short to Battery,Electrical,Electrical,Medium,3,Yes,No,"A fault has been detected in the battery circuit, which can lead to starting problems or unexpected electrical shutdowns.",Inspect the battery and charging system. Carry jump-start equipment until the issue is resolved.
B1225,Fuel Temperature Sensor #1 Circuit Short to Ground,Fuel System,Fuel,Medium,3,Yes,No,A fault was detected in the fuel system that may affect engine performance and fuel economy.,"Schedule a fuel system inspection. Monitor for stalling, hesitation, or a strong fuel odor."
B1226,Fuel Temperature Sensor #2 Circuit Failure,Fuel System,Fuel,Medium,3,Yes,No,A fault was detected in the fuel system that may affect engine performance and fuel economy.,"Schedule a fuel system inspection. Monitor for stalling, hesitation, or a strong fuel odor."
B1227,Fuel Temperature Sensor #2 Circuit Open,Fuel System,Fuel,Medium,3,Yes,No,A fault was detected in the fuel system that may affect engine performance and fuel economy.,"Schedule a fuel system inspection. Monitor for stalling, hesitation, or a strong fuel odor."
B1228,Fuel Temperature Sensor #2 Circuit Short to Battery,Electrical,Electrical,Medium,3,Yes,No,"A fault has been detected in the battery circuit, which can lead to starting problems or unexpected electrical shutdowns.",Inspect the battery and charging system. Carry jump-start equipment until the issue is resolved.
B1229,Fuel Temperature Sensor #2 Circuit Short to Ground,Fuel System,Fuel,Medium,3,Yes,No,A fault was detected in the fuel system that may affect engine performance and fuel economy.,"Schedule a fuel system inspection. Monitor for stalling, hesitation, or a strong fuel odor."
B1231,Longitudinal Acceleration Threshold Exceeded,Body,Body,Medium,3,Yes,No,A fault has been detected in the Body subsystem (Body): Longitudinal Acceleration Threshold Exceeded. Further diagnostic inspection is recommended to determine the exact root cause.,Schedule a diagnostic inspection to confirm the root cause of this code (B1231). Monitor the vehicle for any worsening symptoms in the meantime.
B1232,See Manufacturer,Body,Body,Medium,3,Yes,No,A fault has been detected in the Body subsystem (Body): See Manufacturer. Further diagnostic inspection is recommended to determine the exact root cause.,Schedule a diagnostic inspection to confirm the root cause of this code (B1232). Monitor the vehicle for any worsening symptoms in the meantime.
B1233,Glass Break Sensor Failure,Body,Body,Medium,3,Yes,No,A fault has been detected in the Body subsystem (Body): Glass Break Sensor Failure. Further diagnostic inspection is recommended to determine the exact root cause.,Schedule a diagnostic inspection to confirm the root cause of this code (B1233). Monitor the vehicle for any worsening symptoms in the meantime.
B1234,Mirror Switch Invalid Code,Body,Body,Low,2,Yes,No,A fault has been detected in a body/comfort control circuit (Mirror Switch Invalid Code). This typically affects convenience features rather than drivability.,No immediate safety action is required. Schedule a convenience-feature inspection at your convenience.
B1235,Window Feedback Failure,Body,Body,Low,2,Yes,No,A fault has been detected in a body/comfort control circuit (Window Feedback Failure). This typically affects convenience features rather than drivability.,No immediate safety action is required. Schedule a convenience-feature inspection at your convenience.
B1236,Window Feedback Loss of Signal,Body,Body,Low,2,Yes,No,A fault has been detected in a body/comfort control circuit (Window Feedback Loss of Signal). This typically affects convenience features rather than drivability.,No immediate safety action is required. Schedule a convenience-feature inspection at your convenience.
B1237,Window Feedback Out of Range,Body,Body,Low,2,Yes,No,A fault has been detected in a body/comfort control circuit (Window Feedback Out of Range). This typically affects convenience features rather than drivability.,No immediate safety action is required. Schedule a convenience-feature inspection at your convenience.
B1238,Over Temperature Fault,Body,Body,Medium,3,Yes,No,A fault has been detected in the Body subsystem (Body): Over Temperature Fault. Further diagnostic inspection is recommended to determine the exact root cause.,Schedule a diagnostic inspection to confirm the root cause of this code (B1238). Monitor the vehicle for any worsening symptoms in the meantime.
B1239,Air Flow Blend Door Driver Circuit Failure,Body,Body,Low,2,Yes,No,A fault has been detected in a body/comfort control circuit (Air Flow Blend Door Driver Circuit Failure). This typically affects convenience features rather than drivability.,No immediate safety action is required. Schedule a convenience-feature inspection at your convenience.
B1240,Wiper Washer Rear Pump Relay Circuit Failure,Body,Body,Low,2,Yes,No,A fault has been detected in a body/comfort control circuit (Wiper Washer Rear Pump Relay Circuit Failure). This typically affects convenience features rather than drivability.,No immediate safety action is required. Schedule a convenience-feature inspection at your convenience.
B1241,Wiper Washer Rear Pump Relay Circuit Short to Battery,Electrical,Electrical,Medium,3,Yes,No,"A fault has been detected in the battery circuit, which can lead to starting problems or unexpected electrical shutdowns.",Inspect the battery and charging system. Carry jump-start equipment until the issue is resolved.
B1242,Air Flow Recirculation Door Driver Circuit Failure,Body,Body,Low,2,Yes,No,A fault has been detected in a body/comfort control circuit (Air Flow Recirculation Door Driver Circuit Failure). This typically affects convenience features rather than drivability.,No immediate safety action is required. Schedule a convenience-feature inspection at your convenience.
B1243,Express Window Down Switch Circuit Short to Battery,Electrical,Electrical,Medium,3,Yes,No,"A fault has been detected in the battery circuit, which can lead to starting problems or unexpected electrical shutdowns.",Inspect the battery and charging system. Carry jump-start equipment until the issue is resolved.
B1244,Wiper Rear Motor Run Relay Circuit Failure,Body,Body,Low,2,Yes,No,A fault has been detected in a body/comfort control circuit (Wiper Rear Motor Run Relay Circuit Failure). This typically affects convenience features rather than drivability.,No immediate safety action is required. Schedule a convenience-feature inspection at your convenience.
B1245,Wiper Rear Motor Run Relay Circuit Short to Battery,Electrical,Electrical,Medium,3,Yes,No,"A fault has been detected in the battery circuit, which can lead to starting problems or unexpected electrical shutdowns.",Inspect the battery and charging system. Carry jump-start equipment until the issue is resolved.
B1246,Dim Panel Potentiometer Switch Circuit Failure,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Dim Panel Potentiometer Switch Circuit Failure). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1247,Panel Dim Switch Circuit Open,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Panel Dim Switch Circuit Open). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1248,Passenger's Seatback Autoglide Rearward Switch Circuit Short to Ground,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Passenger's Seatback Autoglide Rearward Switch Circuit Short to Ground). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
